CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
49.553.783/0001-20;2024-03-31;1;Vista Madalena, By You, Inc;Rua Senador Cesar Lacerda Vergueiro, n.º 534, Vila Madalena - São Paulo - SP;494.51;6;N/A;0.5;Venda
49.553.783/0001-20;2024-06-30;1;Evolve Vila Mariana;Rua Manuel de Paiva, 129 - Vila Mariana - São Paulo;8067.04;17;N/A;0.95;Venda
50.479.122/0001-80;2024-06-30;1;LOG SALVADOR;Avenida Engenheiro Elmo Serejo De Farias, 3333, Cia I, Simões Filho/BA, Brasil, 04370-000;109530.52;3;Direito de Propriedade;0.21630486783673;Renda
50.479.122/0001-80;2024-06-30;1;LOG BETIM;Avenida Engenheiro Darcy Nogueira Do Pinho, 3201, São Luiz, Betim/MG, Brasil, 32675-585;50545.28;1;Direito de Propriedade;0.11173635728648;Renda
50.957.247/0001-79;2024-03-31;1;GETULIO VARGAS;AVENIDA GETÚLIO VARGAS, 1446 LOJA A - ANITA GARIBALDI - JOINVILLE/SC;33445.39;1;Matrícula n° 10.528-18.012;0;Renda
51.295.092/0001-15;2024-06-30;1;APARTAMENTO EDIFICIO COIMBRA;Rua Prudente de Morais 1713, Ribeirão Preto/SP;163.9358;1;Matricula 79.283;0.0054;Renda
51.295.092/0001-15;2024-06-30;1;VILLAGE MONET;Rua Luciana Mara Ignacio 575 - Ribeirão Preto/SP;1666.4303;1;Matricula 117.972;0.2586;Renda
51.295.092/0001-15;2024-06-30;1;CASA MORADA;Com frente para rua Dona Maria Pires 659 Cajuru/SP;649.25;1;Matricula 9.367;0.1244;Renda
51.303.221/0001-70;2024-03-31;1;SJRL;Av. Francisco das C. Oliveira, 2550, casa 27, Chácara Mun., São José do Rio Preto - SP, CEP: 15085-485.;95.76;1;matrícula do RGI 67.386 do 2º Ofício de São José do Rio Preto/SP;0.0843;Venda
51.303.221/0001-70;2024-03-31;1;CAÇU;R. Vicente Soares x Av. Padre Brom, s/n, Lote 1, 2, 3, 4, 5 e APP;527;6;matrícula do RGI 8.838, 8.839, 8.840, 8.841, 8.842, 8.843 do Ofício de Caçu/GO;0.1257;Venda
51.303.221/0001-70;2024-03-31;1;FRUTAL;Rua dos Pinheiros, 31 Lote 22, Quadra O,  - Village dos Buritis, Planura/MG, CEP: 38220-000;443.47;1;matrícula do RGI 29.315 do Ofício de Frutal/MG;0.039;Venda
51.666.294/0001-26;2024-03-31;1;Condominio E-Tower Sao Paulo;Rua Funchal, 418, Sem Complemento, Vila Olimpia, Sao Paulo/SP, Brasil, 04551-060;8944;13;Não possui caracteristicas que destoem dos demais;0.99114543723028;Renda
52.356.865/0001-99;2024-03-31;1;IMÓVEL JARAGUÁ DO SUL;localizado no lado ímpar da Rua 501 - Pastor Albert Scheider,;18952.9;1;MATRICULA 69377;1;Renda
